image	author	title	style	description
./images/16.jpg	ABBATE, NiccolÃÂ² dell'	Orpheus and Eurydice	Oil on canvas	King Francis I of France concentrated his patronage of art and artists on the decoration of the Chateau of Fontainebleau. To this and he imported such major artists as he could. He did get the aging Leonardo, he imported Rosso in 1530, Primaticcio in 1532, then NiccolÃ² dell'Abbate, Vignola, Andrea del Sarto, Cellini. Some stayed, some went back; but the work they left behind was decisive in the replacement of Gothic style in France.The Fontainebleau decorations included a Long Gallery, a Ballroom and several royal rooms. Only a fraction survives, since much were destroyed in later rebuildings, and most of the paintings were drastically restored in the nineteenth century.NiccolÃ² dell'Abbate arrived about 1552. His main contribution was his fantastic landscapes, which are a genre quite apart from either the poetic realism found in late fifteenth-century Italian pictures, or the homely kind in the background of the Raphael cartoons. They have a dreamlike quality with extremes of light and colour, rainbows and flickering storms.Suggested listening (streaming mp3, 7 minutes):Cristoph Willibald Gluck: Orfeo, Act I, Orpheus' aria in G Major
./images/17.jpg	ABBATE, NiccolÃÂ² dell'	The Rape of Proserpine	Oil on canvas	In this painting - which may belong to a series of landscapes painted in 1570 for the Cabinet du Roi in the ChÃ¢teau de Fontainebleau - the artist applies the formula of a vast landscape animated by small, graceful figures. He takes as his source works by Joachim Patenier.
./images/18.jpg	ABBATE, NiccolÃÂ² dell'	The Continence of Scipio	Oil on canvas	This painting is typical of the elegant art emerging in Fontainebleau inspired by Primaticcio.
./images/19.jpg	ABBATI, Giuseppe	Landscape at Castiglioncello	Oil on panel	The mid-nineteenth century in Italy was the period of the Risorgimento, the movement that culminated in Italian unification. That movement provided the political and cultural backdrop for one of the most important and influential groups in Italian art in the second half of the nineteenth century: the Macchiaioli. This group of landscape, portrait and genre painters, flourishing from about 1850 to 1880, was based on Florence. The core of the Macchiaioli consisted of eleven painters born between 1824 and 1838, most important of them among the older painters were Giovanni Fattori, Silvestro Lega, Serafino de Tivoli, and Vincenzo Cabianca, while Giuseppe Abbati and Telemaco Signorini belonged to the younger. There were some other artists associated with the group to varying extent, such as Guglielmo Ciardi, Giuseppe de Nittis, Federigo Zandomeneghi, and Giovanni Boldini. The last-named three all took their bearings from France, and eventually moved to Paris.Alongside history paintings, the early period of the Macchiaioli notably included the Castiglioncello School of landscape art, of significance in the 1860s in particular. (The school was named after the Tuscan coastal town where the artists gathered to work.) The painters of this school, among them Giuseppe Abbati, Odoardo Borrani, and Giovanni Fattori, constituted a homogenous subgroup within the Macchiaioli. At first Abbati's art was to the fore, subsequently that of Fattori.Abbati was very taken with the clear, serene light of that part of the country, and with the colours, and he was the most regular of the visitors. A typical painting of the 1860s was his Landscape at Castiglioncello.
./images/20.jpg	ABBATI, Giuseppe	Country Road with Cypresses	Oil on canvas	To this day, the hilly Tuscan countryside is dotted with olive groves and ominous cypress trees, frequently found along roadsides and near cemeteries. Abbati chose a patch of sandy, yellow road for the foreground, where long afternoon shadows are casting the shades of other cypress trees to be imagined outside of the picture plane. Large areas of different hues are effectively played off against one another in a rather abstract fashion.
./images/21.jpg	ABBATI, Giuseppe	Cloister	Oil on cardboard	Abbati painted in the cloisters of Santa Croce in Florence in 1861-62 while the monument was being restored. Numerous black and white marble blocks were strewn around the grounds, offering clear-cut shapes and sharp, elementary contrasts. Beyond the empty foreground, a row of stones is placed against the shaded walkway of the cloisters, with only the figure of a worker or stonemason as a living element in this rather abstract composition.
./images/22.jpg	ABBATI, Giuseppe	Portrait of a Woman	Oil on panel	More a genre painting than a portrait, this woman is standing near a fireplace resting her hands on the back of a chair, a pose that was customary in portrait photography at that time. The composition focuses on her long, bluish dress and the bonnet, held down by a black scarf, while her features are only summarily executed in large daubs of colours.
./images/23.jpg	ABBATINI, Guido Ubaldo	Gian Lorenzo Bernini's Cornaro Chapel	Oil on canvas	"In Rome it was customary to decorate church choirs on high church holidays with temporary decorations constructed of coloured papier mÃ¢chÃ© or canvas. The most famous of these are the ones created by Pietro da Cortona for the forty-hour prayer in Rome's San Lorenzo in Damaso during Holy Week in 1633. Drawings and engravings of these temporary ""sacred sets"" are the earliest evidence of the increasing tendency in the seventeenth century to transform church spaces into stages for heavenly apparitions and visions. One of the first decorations belonging to this category was the Cornaro Chapel in Santa Maria della Vittoria in Rome, designed by Gian Lorenzo Bernini. In it architecture, sculpture, and painting combine to form a theatrical whole. The saint and the angel in the famous Ecstasy of St Teresa function as the performers, while the saint's vision is entrusted to the medium of fresco, executed by Guido Ubaldo Abbatini."
./images/27.jpg	ABILDGAARD, Nicolai	Culmin's Ghost Appears to his Mother	Oil on canvas	The subject is taken from the Songs of Ossian.
./images/30.jpg	ACHENBACH, Oswald	Fireworks in Naples	Oil on canvas	Achenbach's favourite theme was the striking states of nature: a moonlit night, thunderclouds, fog, and so on. In the present work, his effective approach doubles the real-life event in pursuit of the same goal: a powerful visual impression.Suggested listening (streaming mp3, 18 minutes):Handel: Fireworks Music
./images/31.jpg	ADAM, Albrecht	Battle of Moscow on 7 September 1812	Oil and gouache on paper	Albrecht Adam is best known as a battle painter; his patrons included Marshal Radetzky, Emperor Francis Joseph of Austria, Archduke Charles Ludwig, and King Maximilian II. The present painting represents the battle of Moscow on 7 September 1812.Suggested listening (streaming mp3, 3 minutes):Johann Strauss Sr.: Radetzky March
./images/32.jpg	ADAM, Albrecht	The Return from the Hunt	Oil on canvas	Albrecht Adam was one of the most celebrated German equestrian and military artists of the early nineteenth century. The present landscape with huntsmen returning from the hunt was commissioned around 1828 as one of a pair of hunting pictures by Felix Georg von Voss, the owner of Schloss Schorssow whose family held substantial estates in Pomerania and Prussia. In the background of the picture is a large, nine-bay country house, shown from the south-east side across the lake identifiable as Schloss Schorssow, built on the banks of Lake Haussee in Pomerania in North-East Germany.
./images/51.jpg	ADEMOLLO, Luigi	View of the Room of the Ark	Fresco	Luigi Ademollo, an Italian painter, draftsman, and engraver, was the uncle of the painter Carlo Ademollo (1825-1911). The Tuscan activities of this Lombard painter contributed to the establishing of modern Nea-Classical aesthetics in Florence. His decorative scenographic paintings on subjects drawn from mythology and Greek and Roman history, rich in grandiloquent archeologisms. certainly produced responses from local artists. Two representative examples of Ademollo's style and language are the painting decoration of the Palatine Chapel (1791-92) and of the later (1816) Sala dell'Arca (Room of the Ark) in the Pitti palace.Ademollo decorated the Room of the Ark with biblical scenes inspired by the history surrounding the Holy Ark of the Jewish people. Before the backdrop of classical architecture, a multitude of people are moving in a frieze-like procession with the Holy Ark being carried under the leadership of the high priest. The scenes are rich in narrative detail and reveal the artist's ability for elaborate historical recreations.
./images/52.jpg	ADEMOLLO, Luigi	View of the Room of the Ark	Fresco	Luigi Ademollo, an Italian painter, draftsman, and engraver, was the uncle of the painter Carlo Ademollo (1825-1911). He decorated this room with biblical scenes inspired by the history surrounding the Holy Ark of the Jewish people. Before the backdrop of classical architecture, a multitude of people are moving in a frieze-like procession with the Holy Ark being carried under the leadership of the high priest. The scenes are rich in narrative detail and reveal the artist's ability for elaborate historical recreations.
./images/53.jpg	ADEMOLLO, Luigi	The Menorah	Fresco	This scene is a detail of the fresco cycle in the Room of the Ark. This shows the preparation of a Jewish festivity that is about to take place under a tentlike structure. Baskets of bread and jars of wine are being set up for distribution to the crowds during the celebration. The display of the massive menorah, a golden candelabrum with seven arms, serves as the dominating symbol of the Jewish people.
./images/54.jpg	ADEMOLLO, Luigi	Transportation of the Ark of the Covenant Containing the Tablets of the Law	Fresco	This scene is a detail of the fresco cycle in the Room of the Ark. Billowing clouds of aromatic incense surround the Ark of the Covenant, which is being carried in a solemn procession into the city of Jerusalem. The high priest of the Temple leads the pageant with the tabernacle containing the sacred Tablets of the Law.
./images/55.jpg	ADEMOLLO, Luigi	View of the Palatine Chapel	Fresco	The decorations of the chapel in the Palazzo Pitti are due to Luigi Ademollo, who painted the religious panels as well as the simulated bas-reliefs in grisaille technique of the organ balcony. They represent the Neoclassical taste of the early years of the nineteenth century, when for some time Napoleon had installed members of his family as the rulers of Tuscany.
./images/56.jpg	ADEMOLLO, Luigi	Episodes in Roman History	Fresco	Ademollo decorated the walls of the Sala degli Staffieri (Room of the Staff) with frescoes depicting scenes from Roman history and showing ancient Roman monuments.The picture shows Plotilla in the Domus Aureus.
./images/57.jpg	ADEMOLLO, Luigi	Episodes in Roman History	Fresco	Ademollo decorated the walls of the Sala degli Staffieri (Room of the Staff) with frescoes depicting scenes from Roman history and showing ancient Roman monuments.The picture shows The Emperor's Triumph.
./images/58.jpg	ADEMOLLO, Luigi	Episodes in Roman History	Fresco	Ademollo decorated the walls of the Sala degli Staffieri (Room of the Staff) with frescoes depicting scenes from Roman history and showing ancient Roman monuments.The picture shows a detail of the scene Events in the Life of Licinius Sura.
./images/59.jpg	ADEMOLLO, Luigi	Fresco decoration (detail)	Fresco	The Palazzo Bianchi-Bandinelli was built for Julio Blanch Bandied, who was a major figure in Napoleonic Siena, chamberlain for the Queen of Mercurial in 1804, mayor of the city in 1810, and prefect of the district of Ambrose in 1814. During the Restoration he was a governor and lieutenant-general of the Lorraine grand duke of Tuscany. The building of the palazzo was designed to mirror the personality, celebrating the features of Neo-classical art, beauty and grace, as the criteria of grandeur.The interior has a suite of rooms on the 'piano Mobile' which rejoices in the frescoes of Luigi Ademollo: they breathe the grace and Olympian calm of the Greek and Roman myths, The Marriage of Alexander and Roxana, and The Sacrifices of Numa. In contrast with these is the 'forest room' where a decoration of buildings and scenes of nature merges into endless greenery, creating illusory scenic prospects that rise to the changing sky of the ceiling and are lost in the dream-like images of the garden outside.The picture shows a detail of the decoration of the rooms on the piano nobile of the palazzo, entirely frescoed by Ademollo with mythological subjects, including griffins and garlands of flowers, and some 'woodland' decoration from a series of trompe-l'oeil landscapes.
./images/60.jpg	ADEMOLLO, Luigi	Fresco decoration (detail)	Fresco	The Palazzo Bianchi-Bandinelli was built for Julio Blanch Bandied, who was a major figure in Napoleonic Siena, chamberlain for the Queen of Mercurial in 1804, mayor of the city in 1810, and prefect of the district of Ambrose in 1814. During the Restoration he was a governor and lieutenant-general of the Lorraine grand duke of Tuscany. The building of the palazzo was designed to mirror the personality, celebrating the features of Neo-classical art, beauty and grace, as the criteria of grandeur.The interior has a suite of rooms on the 'piano Mobile' which rejoices in the frescoes of Luigi Ademollo: they breathe the grace and Olympian calm of the Greek and Roman myths, The Marriage of Alexander and Roxana, and The Sacrifices of Numa. In contrast with these is the 'forest room' where a decoration of buildings and scenes of nature merges into endless greenery, creating illusory scenic prospects that rise to the changing sky of the ceiling and are lost in the dream-like images of the garden outside.The picture shows a detail of the decoration of the rooms on the piano nobile of the palazzo, entirely frescoed by Ademollo with mythological subjects, including griffins and garlands of flowers, and some 'woodland' decoration from a series of trompe-l'oeil landscapes.
./images/61.jpg	ADEMOLLO, Luigi	Fresco decoration (detail)	Fresco	The Palazzo Bianchi-Bandinelli was built for Julio Blanch Bandied, who was a major figure in Napoleonic Siena, chamberlain for the Queen of Mercurial in 1804, mayor of the city in 1810, and prefect of the district of Ambrose in 1814. During the Restoration he was a governor and lieutenant-general of the Lorraine grand duke of Tuscany. The building of the palazzo was designed to mirror the personality, celebrating the features of Neo-classical art, beauty and grace, as the criteria of grandeur.The interior has a suite of rooms on the 'piano Mobile' which rejoices in the frescoes of Luigi Ademollo: they breathe the grace and Olympian calm of the Greek and Roman myths, The Marriage of Alexander and Roxana, and The Sacrifices of Numa. In contrast with these is the 'forest room' where a decoration of buildings and scenes of nature merges into endless greenery, creating illusory scenic prospects that rise to the changing sky of the ceiling and are lost in the dream-like images of the garden outside.The picture shows a detail of the decoration of the rooms on the piano nobile of the palazzo, entirely frescoed by Ademollo with mythological subjects, including griffins and garlands of flowers, and some 'woodland' decoration from a series of trompe-l'oeil landscapes.
./images/62.jpg	ADLER, Salomon	Self-Portrait	Oil on canvas	Salomon Adler executed a handful of self-portraits during his career, and the present work appears to be an early example of such a work.
./images/65.jpg	ADRIAENSSEN, Alexander	Still-Life with Fish	Oil on oak panel	The style of Alexander Adriaenssen, who became a master in Antwerp in 1610, is related to the Haarlem style. He made a number of still-lifes of flowers, but he owes his reputation to his many still-lifes of fish. He depicted with great skill the moist waxiness of fish and oysters.He seems to have arrived fairly quickly at a well-laid-out scheme to which he adhered for the rest of his life. He has a striking diagonal asymmetric composition, with motifs overlapping one another and arranged over several planes, with a generally sober tonality, even tending to monochrome. In the use of some motifs he seems to have been influenced by Frans Snyders.
./images/67.jpg	ADRIAENSSEN, Alexander	Still-Life	Oil on panel	The painting shows a still-life with a platter of crabs and shrimp, a glass jug of flowers, a Roemer and a long-stemmed tazza of wine, an earthenware jug, a loaf of bread, a bunch of grapes and a half-peeled lemon.All of Adriaenssen's known works are still-lifes, a number of which are dated and prominently signed with his full name.  His compositions are well balanced, suffused with soft chiaroscuro, with the textures of surfaces skillfully and convincingly reproduced.The painting is signed and dated on the table, lower left: Alex. Adriaenssen fecit Ao 1646.
./images/68.jpg	ADRIAENSSEN, Alexander	Still-Life with Oysters	Oil on oak panel	In this painting the stylistic elements of both the Flemish and the Dutch seventeenth-century painting can be observed. The colour palette is close to that of the Haarlem painters active around 1630.
./images/75.jpg	AELST, Willem van	Breakfast Piece	Oil on canvas	"Willem van Aelst signed and dated this ""Ontbijtje"" (breakfast piece)."
./images/76.jpg	AELST, Willem van	Still-Life with Hunting Equipment and Dead Birds	Oil on canvas	In addition to fruit and flower still-lifes with cool colour harmonies, van Aelst also enjoyed painting elegant hunting weapons and dead animals placed in a dark corner by a wall for rich clients. One example is this still-life.A dead partridge is hanging by its leg from a piece of string. Its wings and feathers, which are grey with brownish patches, open up towards us at the bottom like a fan. The fly on the light-coloured feathers has an illusionist effect: disproportionately large in size, it belongs to the realistic level of the picture rather than its fictitious one, so that the viewer is given the impression that a real fly is crawling across the painting. The bird's head has been pressed slightly towards the middle by the blue hunting bag with the golden fringe and the adjustable shoulder strap which is lying on the stone shelf. Beside the partridge a hunting horn, also adorned with tassels, and a powder bottle have been hung up. The shiny, metallic grey of the hunting horn has been painted by the artist with a highly sensitive eye for the different hues of the bird's fluffy, grey feathers on its breast and as a contrast to the grey of the wings which merges into white towards the middle.But, although the bird has been rendered with almost unsurpassable precision, it has an odd abstract quality. It seems as if, in its material consistency, it had undergone a synthesis with the implement of civilization by which it was pursued - as if it was no longer merely part of nature and a victim, but an aesthetically refined and ennobled form of existence.Suggested listening (streaming mp3, 9 minutes):Antonio Vivaldi: Concerto in B flat major RV 362 op. 8 No. 10 (Hunt)
./images/77.jpg	AELST, Willem van	Hunting Still-Life	Oil on canvas	Willem van Aelst was a still-life specialist prized for his lovely flower and fruit pieces, and he has been mentioned as a sometime follower of Kalf. He also painted a number of elegant game pictures in a clear light. They show close views of dead prey - occasionally accompanied by killed poultry - that include scrupulously painted guns, hunting bags and horns, bells and other gear of the sport. As most trophy pieces they were designed as representative pictures of the sport, not records of the spoils of a specific hunt.In this picture the painter displayed the finely worked equipment of the huntsman on a marble ledge: a velvet hunting bag with chamois strap, trimmed with gold embroidery and fringes, and a tasseled horn. Above it he suspended the exquisite catch of a fat partridge and three small game birds. The exquisite blue of the velvet contains the expensive pigment lapis lazuli, which yields ultramarine colour when ground. It was imported from China. Van Aelst's lavish use of it reinforces the preciousness of the arrangement and confirms its destination in a wealthy home. Most Dutch painters used cheaper, less stable blue pigments.Suggested listening (streaming mp3, 3 minutes):Carl Maria von Weber: Der FreischÃ¼tz, Act III: Jagerchor
./images/78.jpg	AELST, Willem van	Hunting Still-Life (detail)	Oil on canvas	Above the marble ledge the painter suspended the exquisite catch of a fat partridge and three small game birds.
./images/79.jpg	AELST, Willem van	Still-Life of Fruit	Oil on canvas	The picture depicts a still-life with peaches and grapes fallen from an over-turned basket, resting on a partly-draped marble ledge. The painting has been reduced from a vertical to horizontal format, resulting in the loss of the signature.
./images/80.jpg	AELST, Willem van	Still-Life with a Basket of Fruit on a Marble Ledge	Oil on canvas	Van Aelst painted this still-life (signed and dated lower right) in 1650, the year in which he entered the service of Ferdinand II de'Medici, grand duke of Toscany, and of his brother, Cardinal Carlo de'Medici. It is possible, that this painting was executed for the cardinal, who was the artist's main patron in Florence.In this still-life Van AElst continues the tradition of fruit and flower painting that flourished in Delft from the early 1630s onward with the work of Balthasar van der Ast, Gillis de Bergh, and Evert van Aelst, Willem's uncle.
./images/81.jpg	AELST, Willem van	Still-Life	Oil on canvas	This painting depicts a still-life of roses, a carnation and a sunflower in a glass vase, on a marble ledge.
./images/82.jpg	AELST, Willem van	Still-Life with Fruit	Oil on canvas	These peaches, grapes, and figs may be identified as products of the Medici estates.
./images/83.jpg	AELST, Willem van	Still-Life with Fruit and Crystal Vase	Oil on canvas	Intense colours characterize the still-lifes of Van Aelst, who worked for a time in France and Italy. In this painting, which was commissioned by Cardinal Giovan Carlo de' Medici, the intense blue of the table-cloth catches one's eye. The large crystal vase in the centre of the composition was probably in the possession of the Medici family. The painter placed his signature and the date on the hem of the white tablecloth: W.A.Aelst. 1652.
./images/84.jpg	AELST, Willem van	Still-Life	Oil on panel	Willem van Aelst painted a large variety of still-lifes including fruit still-lifes, flower bouquets in vases, as well as trophies of the hunt, banquet still-lifes, and also forest floor still-lifes in the tradition of his contemporary van Schriek.
./images/85.jpg	AELST, Willem van	Still-Life with Fruit	Oil on canvas	This painting is a typical example of the speciality of Willem van Aelst: still-lifes of fruits and objects.
./images/86.jpg	AELST, Willem van	Still-Life	Oil on canvas	The painting depicts a still-life with roses, tulips and other flowers resting on a ledge. It demonstrates the elegance, refinement, and technical brilliance cultivated during the painter's formative years in Italy.
./images/87.jpg	AELST, Willem van	Flower Still-Life	Oil on canvas	The present painting, treats one of Willem van Aelst's favourite themes of still-lifes of flowers. In this composition the roses, carnations, thistles, peonies, the green leaves and stems tumble out of the glass vase in a haphazard fashion. This arrangement gives the subject volume and creates a natural setting. Van Aelst has silhouetted the objects against a dark background. The flowers, glass vase, velvet and the marble are bathed in a sharp light from the left which accentuates the textures and colours of these lustrous items.Suggested listening (streaming mp3, 7 minutes):Piotr Ilyich Tchaikovsky: The Nutcracker, ballet suite, op. 71, Waltz of the Flowers
./images/88.jpg	AELST, Willem van	Fruit Still-Life	Oil on canvas	Van Aelst painted fruit still-lifes for the Medici family in Italy and from 1659 onwards had begun to specifically focus on painting various arrangements of grapes and peaches, such as the present work which depicts peaches, chestnuts and grapes in an overturned basket resting on a partially draped marble ledge.
./images/89.jpg	AELST, Willem van	Still-Life with Fruit, Parrot, and Nautilus Pitcher	Oil on canvas	This princely still-life is one of several variations on a theme made for Grand Duke Ferdinando II de' Medici and his brothers. The good things in life here include natural beauty, crafted artisanship, and a combination of the two in the adorned nautilus shell.
./images/91.jpg	AELST, Willem van	Still-Life with Mouse and Candle	Oil on copper	Although Van Aelst is most admired for elegant still-lifes with fine glassware, silver vessels, fruit and flowers, this representation of humbler motifs must be considered one of his finest early work. The subject here is a 'vanitas', with a recently extinguished candle set in a holder on a stone ledge, and a mouse nibbling at walnut crumbs.Although mice occur in 17th-century still-lifes (e.g. in paintings by Abraham van Beyeren, Georg Flegel, Jacob Vosmaer), the specific combination of a mouse and an expired candle is unique.
./images/92.jpg	AELST, Willem van	Still-Life with Fruit and a Crystal Vase	Oil on canvas	Van Aelst's still-lifes are infinitely various. Here, he perhaps suggests the category's classical roots: the Greek painter Zeuxis's grapes, so lifelike that birds tried to eat them, and the split pomegranate recalling Demeter's bargain, and announcing winter's return, as Proserpina descends to Hades once more.
./images/93.jpg	AELST, Willem van	Vase of Flowers with Pocket Watch	Oil on canvas	Willem van Aelst was a still-life specialist prized for his lovely flower and fruit pieces, and he has been mentioned as a sometime follower of Kalf. The eminent flower painter Rachel Ruysch was his pupil.This floral still-life has symbolic significance. The blooms, shown in all their glory, already imply the fading and dying that is to come, a reminder of the transience of beauty. A similar idea is communicated by the holes eaten in the leaves, while the open pocket-watch serves to suggest the passage of earthly time, as well as standing more generally for the importance of good measure. Yet the hour cannot be read from the face of the watch, and this might suggest that time is not passing, that the painter has brought time to a standstill in his work, overcoming the very transience of things.Suggested listening (streaming mp3, 2 minutes):Franz Schubert: Blumenlied (Flower Song) D 431
./images/94.jpg	AELST, Willem van	Still-Life of Dead Birds and Hunting Weapons	Oil on canvas	The ostentatious display of killed animals after hunt had a representational and symbolic function. The motif of a dead animal hanging upside down - an actual hunting custom - had been taken over by 17th century Dutch painters from earlier artists such as Jacopo de' Barbari and Lucas Cranach the Elder.Suggested listening (streaming mp3, 9 minutes):Joseph Haydn: The Seasons, Part 3 Autumn, aria and chorus (Hunters' chorus)
./images/96.jpg	AENVANCK, Theodoor	Fruit	Oil on panel	Theodoor Aenvanck's Fruit, like many other floral compositions in 17th-century painting, also represents the process of decay and destruction.
./images/98.jpg	AERTSEN, Pieter	Apostles Peter and John	Oil on wood	Earlier the painting was attributed to Joachim Beuckelaer, Aertsen's pupil.Suggested listening (streaming mp3, 3 minutes):Guillaume Dufay: Aurea luce, hymn for the feast of Sts Peter and Paul
./images/99.jpg	AERTSEN, Pieter	Christ and the Adulteress	Oil on wood	The fruit and vegetables presented in Aertsen's paintings are peasant foods, but they are a feast for the eyes. His market scenes are not slices of everyday life, but plausible inventions. Many of the fruit and vegetables depicted in his work have sexual connotations and some of them were eaten as aphrodisiacs.In the present painting, the artist juxtaposes the biblical narrative with a market scene, encouraging beholders to ponder the relationship between love and lust, between sexual attraction and visual seduction. The foreground of the painting is filled with sexual innuendoes. On the left side, a man shows a woman his strings of onions. Although this may look innocent and mundane, onions were commonly used as aphrodisiacs. Furthermore, according to proverbial folklore, peeling an onion was like peeling off clothes, for it could easily result in tears. On the right, a man grasps a black rooster, a phallic allusion, in one hand, and an egg basket, a vaginal allusion, in the other.
./images/100.jpg	AERTSEN, Pieter	Christ and the Adulteress	Oil on wood	In the 16th century Antwerp rose to the position of the most significant trade and banking centre in Europe. In the area around this town there was an extensive cottage industry for the processing of English cloth and the production of glassware, soap, sugar, and other goods. The changing conditions in agriculture were almost equally revolutionary. The population increase at the beginning of the 16th century meant a greater demand for food, which had to be satisfied buy an agricultural system that was now no longer catering merely to itself but also to the market.After years of inadequate supplies the increase in food production was experienced by the general public as a great improvement - so much so, in fact, that it virtually demanded some form of artistic expression. Celebrating this new wealth in an almost solemn manner, the Amsterdam-born painter Pieter Artsen, who lived in Antwerp in 1555-56, depicted market scenes as part of biblical illustrations. However, instead of following traditional conventions and playing only a minor part in these illustrations, these market scenes dominate the biblical motifs so much that the latter are literally pushed into the background.In this painting Christ and the Adulteress, the biblical event takes place at the back, on the left, while the foreground is dominated by a market scene with peasants offering clay pots, baskets laden with fruit, vegetables such as onions, carrots, cucumbers and cabbages, as well as eggs, loaves of bread and large jugs of milk. It is this foreground which attracts our attention. There is also a peculiar mixture of time levels: the biblical scenario (with people wearing the clothes of antiquity) and the contemporary market scene (with sixteenth-century peasants) are intricately interwoven, as is shown in the Roman soldiers storming past the market stall. The same feature can be found in numerous other paintings of Aertsen.
